loss: 0.0022, recon: 0.0022, kl: 3435.2175
loss: 0.0022, recon: 0.0022, kl: 3397.0391
epoch: 81, lr: 0.000005, loss: 0.0021
loss: 0.0024, recon: 0.0024, kl: 3378.0249
loss: 0.0021, recon: 0.0021, kl: 3423.9370
loss: 0.0022, recon: 0.0022, kl: 3388.4160
loss: 0.0023, recon: 0.0023, kl: 3407.5891
epoch: 82, lr: 0.000005, loss: 0.0020
loss: 0.0023, recon: 0.0023, kl: 3430.9180
loss: 0.0022, recon: 0.0022, kl: 3424.6514
loss: 0.0020, recon: 0.0020, kl: 3413.2527
loss: 0.0024, recon: 0.0024, kl: 3412.2979
loss: 0.0021, recon: 0.0021, kl: 3426.1421
epoch: 83, lr: 0.000005, loss: 0.0024
loss: 0.0021, recon: 0.0021, kl: 3436.4617
loss: 0.0022, recon: 0.0022, kl: 3398.8420
loss: 0.0022, recon: 0.0022, kl: 3429.5322
loss: 0.0020, recon: 0.0020, kl: 3462.3872
epoch: 84, lr: 0.000005, loss: 0.0023
loss: 0.0023, recon: 0.0023, kl: 3455.0066
loss: 0.0021, recon: 0.0021, kl: 3459.7913
loss: 0.0021, recon: 0.0021, kl: 3443.4229
loss: 0.0023, recon: 0.0023, kl: 3447.1338
epoch: 85, lr: 0.000005, loss: 0.0020
loss: 0.0023, recon: 0.0023, kl: 3426.3027
loss: 0.0023, recon: 0.0023, kl: 3419.7014
loss: 0.0020, recon: 0.0020, kl: 3449.3213
loss: 0.0020, recon: 0.0020, kl: 3475.6553
epoch: 86, lr: 0.000005, loss: 0.0019
loss: 0.0020, recon: 0.0020, kl: 3451.7400
loss: 0.0021, recon: 0.0021, kl: 3428.6729
loss: 0.0021, recon: 0.0021, kl: 3472.9248
loss: 0.0020, recon: 0.0020, kl: 3469.3877
epoch: 87, lr: 0.000005, loss: 0.0020
loss: 0.0023, recon: 0.0023, kl: 3501.7510
loss: 0.0021, recon: 0.0021, kl: 3479.3140
loss: 0.0022, recon: 0.0022, kl: 3479.3208
loss: 0.0021, recon: 0.0021, kl: 3479.9619
epoch: 88, lr: 0.000005, loss: 0.0017
loss: 0.0021, recon: 0.0021, kl: 3440.9934
loss: 0.0021, recon: 0.0021, kl: 3474.5574
loss: 0.0020, recon: 0.0020, kl: 3489.8489
loss: 0.0020, recon: 0.0020, kl: 3474.5117
loss: 0.0021, recon: 0.0021, kl: 3493.5132
epoch: 89, lr: 0.000005, loss: 0.0020
loss: 0.0019, recon: 0.0019, kl: 3484.8872
loss: 0.0021, recon: 0.0021, kl: 3501.7000
loss: 0.0020, recon: 0.0020, kl: 3454.6067
loss: 0.0019, recon: 0.0019, kl: 3481.4221
epoch: 90, lr: 0.000005, loss: 0.0020
loss: 0.0020, recon: 0.0020, kl: 3497.3601
loss: 0.0021, recon: 0.0021, kl: 3535.1367
loss: 0.0020, recon: 0.0020, kl: 3480.0081
loss: 0.0022, recon: 0.0022, kl: 3488.0178
epoch: 91, lr: 0.000005, loss: 0.0019
loss: 0.0021, recon: 0.0021, kl: 3528.7017
